rgb_path,depth_npy_path,bcs_raw,label5,label5_name,label3,label3_name,is_high,bag_id,split_group_id,group_name,animal_id_guess,frame_key,rgb_file,depth_file,rgb_ext
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_0_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_0_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,0,f_0_rgb.jpg,f_0_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_1_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_1_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,1,f_1_rgb.jpg,f_1_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_2_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_2_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,2,f_2_rgb.jpg,f_2_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_3_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_3_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,3,f_3_rgb.jpg,f_3_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_4_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_4_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,4,f_4_rgb.jpg,f_4_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_5_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_5_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,5,f_5_rgb.jpg,f_5_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_6_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_6_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,6,f_6_rgb.jpg,f_6_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_7_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_7_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,7,f_7_rgb.jpg,f_7_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_8_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_8_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,8,f_8_rgb.jpg,f_8_depth.npy,.jpg
C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_9_rgb.jpg,C:\Users\Administrator\Desktop\paper\data\database\new\2\Cow_5\f_9_depth.npy,2,0,BCS_2,0,Lean,0,BCS2__Cow_5,Cow_5,Cow_5,Cow_5,9,f_9_rgb.jpg,f_9_depth.npy,.jpg
