bag_id,animal_id,fold_id,bcs_raw,label5,label3,bag_good_angle_median,good_frame_ratio,good_angle_frame_count,total_frame_count
BCS2__Cow_11,Cow_11,1,2,0,0,172.58738708496094,0.15079365079365079,76,504
BCS2__Cow_11_1,Cow_11,1,2,0,0,170.794677734375,0.11538461538461539,6,52
BCS2__Cow_11_2,Cow_11,1,2,0,0,170.07037353515625,0.8163265306122449,40,49
BCS2__Cow_21_8029,Cow_21,0,2,0,0,164.2025909423828,0.2786885245901639,17,61
BCS2__Cow_5_1,Cow_5,2,2,0,0,171.34860229492188,0.21739130434782608,10,46
BCS3__Cow_14,Cow_14,1,3,1,0,162.63763427734375,0.23529411764705882,4,17
BCS3__Cow_14_0011,Cow_14,1,3,1,0,169.92811584472656,0.5714285714285714,4,7
BCS3__Cow_16,Cow_16,0,3,1,0,164.14666748046875,0.45454545454545453,20,44
BCS3__Cow_16_1004,Cow_16,0,3,1,0,165.8255615234375,0.75,3,4
BCS3__Cow_20_0029,Cow_20,2,3,1,0,169.902587890625,1.0,4,4
BCS3__Cow_22,Cow_22,2,3,1,0,170.9117431640625,0.25316455696202533,20,79
BCS3__Cow_22_1,Cow_22,2,3,1,0,171.40643310546875,0.8571428571428571,6,7
BCS3__Cow_25_66,Cow_25,0,3,1,0,162.6205291748047,0.6,3,5
BCS3__Cow_2_1015,Cow_2,0,3,1,0,166.10650634765625,0.8,4,5
BCS3__Cow_46,Cow_46,0,3,1,0,166.41632080078125,0.2833333333333333,17,60
BCS3__Cow_46_1,Cow_46,0,3,1,0,162.4482421875,0.23076923076923078,9,39
BCS3__Cow_46_2,Cow_46,0,3,1,0,166.63494873046875,0.5,3,6
BCS3__Cow_53,Cow_53,0,3,1,0,168.214111328125,0.42857142857142855,3,7
BCS3__Cow_6_103,Cow_6,1,3,1,0,159.5771026611328,0.8,4,5
BCS4__Cow_1,Cow_1,1,4,2,1,173.93026733398438,0.47368421052631576,9,19
BCS4__Cow_10,Cow_10,2,4,2,1,169.0240020751953,0.5694444444444444,41,72
BCS4__Cow_10_2038,Cow_10,2,4,2,1,171.49447631835938,1.0,4,4
BCS4__Cow_15_68,Cow_15,0,4,2,1,170.6436309814453,1.0,3,3
BCS4__Cow_17,Cow_17,0,4,2,1,172.29331970214844,0.38461538461538464,10,26
BCS4__Cow_19,Cow_19,0,4,2,1,170.60015869140625,0.8769230769230769,57,65
BCS4__Cow_19_0037,Cow_19,0,4,2,1,169.5573272705078,0.8333333333333334,5,6
BCS4__Cow_2,Cow_2,0,4,2,1,173.37326049804688,0.8666666666666667,13,15
BCS4__Cow_22_6005,Cow_22,2,4,2,1,170.8159637451172,0.8,4,5
BCS4__Cow_23,Cow_23,0,4,2,1,169.38067626953125,0.42857142857142855,18,42
BCS4__Cow_26,Cow_26,1,4,2,1,170.12649536132812,0.4666666666666667,7,15
BCS4__Cow_26_5051,Cow_26,1,4,2,1,165.91822814941406,0.4166666666666667,5,12
BCS4__Cow_27_9008,Cow_27,1,4,2,1,166.93246459960938,0.5714285714285714,4,7
BCS4__Cow_29_7007,Cow_29,1,4,2,1,163.2270965576172,0.8,4,5
BCS4__Cow_30,Cow_30,2,4,2,1,170.36422729492188,0.2857142857142857,4,14
BCS4__Cow_31,Cow_31,0,4,2,1,169.2404327392578,0.9230769230769231,12,13
BCS4__Cow_32_0035,Cow_32,0,4,2,1,168.3115234375,1.0,8,8
BCS4__Cow_33,Cow_33,1,4,2,1,169.32260131835938,0.2,21,105
BCS4__Cow_4,Cow_4,1,4,2,1,171.37648010253906,1.0,4,4
BCS4__Cow_41,Cow_41,1,4,2,1,173.58253479003906,0.04918032786885246,3,61
BCS4__Cow_42,Cow_42,2,4,2,1,169.3099822998047,0.4074074074074074,11,27
BCS4__Cow_44_1,Cow_44,0,4,2,1,169.4070281982422,0.4782608695652174,22,46
BCS4__Cow_47_1,Cow_47,2,4,2,1,166.42401123046875,1.0,7,7
BCS4__Cow_48,Cow_48,1,4,2,1,170.07276916503906,0.23076923076923078,3,13
BCS4__Cow_49,Cow_49,2,4,2,1,165.79208374023438,0.7777777777777778,7,9
BCS4__Cow_4_1,Cow_4,1,4,2,1,163.24778747558594,1.0,39,39
BCS4__Cow_51,Cow_51,0,4,2,1,170.22030639648438,1.0,4,4
BCS4__Cow_51_0035,Cow_51,0,4,2,1,166.47422790527344,0.8,4,5
BCS4__Cow_55,Cow_55,2,4,2,1,170.67208862304688,0.8,4,5
BCS4__Cow_6,Cow_6,1,4,2,1,168.27133178710938,0.16666666666666666,7,42
BCS4__Cow_7,Cow_7,0,4,2,1,171.9101104736328,0.8333333333333334,15,18
BCS4__Cow_8,Cow_8,2,4,2,1,169.6336212158203,0.6666666666666666,26,39
BCS4__Cow_9,Cow_9,2,4,2,1,164.2716827392578,0.7307692307692307,19,26
BCS5__Cow_10_0029,Cow_10,2,5,3,1,171.14865112304688,0.7142857142857143,5,7
BCS5__Cow_12_NOTAG,Cow_12,1,5,3,1,171.86167907714844,0.75,3,4
BCS5__Cow_13,Cow_13,1,5,3,1,172.7588653564453,0.8695652173913043,20,23
BCS5__Cow_13_8001,Cow_13,1,5,3,1,170.39663696289062,0.75,3,4
BCS5__Cow_15,Cow_15,0,5,3,1,169.67364501953125,0.8620689655172413,25,29
BCS5__Cow_17_17,Cow_17,0,5,3,1,170.92422485351562,0.75,6,8
BCS5__Cow_1_27,Cow_1,1,5,3,1,170.6589813232422,0.75,3,4
BCS5__Cow_21,Cow_21,0,5,3,1,171.05364990234375,0.6923076923076923,18,26
BCS5__Cow_23_1067,Cow_23,0,5,3,1,169.7625732421875,1.0,5,5
BCS5__Cow_24,Cow_24,2,5,3,1,171.4778289794922,0.48,12,25
BCS5__Cow_24_7022,Cow_24,2,5,3,1,169.30714416503906,0.75,3,4
BCS5__Cow_25,Cow_25,0,5,3,1,167.94448852539062,0.4393939393939394,29,66
BCS5__Cow_27,Cow_27,1,5,3,1,168.94073486328125,0.5,21,42
BCS5__Cow_28,Cow_28,2,5,3,1,170.21353149414062,0.9333333333333333,28,30
BCS5__Cow_28_4024,Cow_28,2,5,3,1,164.47560119628906,0.5,3,6
BCS5__Cow_29,Cow_29,1,5,3,1,171.1118621826172,0.8333333333333334,25,30
BCS5__Cow_3,Cow_3,2,5,3,1,171.8824462890625,0.5263157894736842,10,19
BCS5__Cow_30_30,Cow_30,2,5,3,1,172.21156311035156,0.8571428571428571,6,7
BCS5__Cow_31_15,Cow_31,0,5,3,1,172.0015411376953,0.75,3,4
BCS5__Cow_31_2024,Cow_31,0,5,3,1,169.39999389648438,1.0,5,5
BCS5__Cow_32,Cow_32,0,5,3,1,172.54058837890625,0.3333333333333333,5,15
BCS5__Cow_34,Cow_34,2,5,3,1,171.14797973632812,0.225,9,40
BCS5__Cow_34_1,Cow_34,2,5,3,1,164.49301147460938,0.2222222222222222,4,18
BCS5__Cow_37,Cow_37,1,5,3,1,171.82203674316406,0.9285714285714286,26,28
BCS5__Cow_37_and_38,Cow_37,1,5,3,1,170.93734741210938,0.125,3,24
BCS5__Cow_43,Cow_43,1,5,3,1,169.02474975585938,0.9736842105263158,37,38
BCS5__Cow_44_3008,Cow_44,0,5,3,1,164.1024932861328,0.3,3,10
BCS5__Cow_45,Cow_45,0,5,3,1,169.9890594482422,0.96,24,25
BCS5__Cow_48_1018,Cow_48,1,5,3,1,166.43313598632812,1.0,3,3
BCS5__Cow_50,Cow_50,2,5,3,1,173.29299926757812,1.0,39,39
BCS5__Cow_50_49,Cow_50,2,5,3,1,169.2381134033203,1.0,3,3
BCS5__Cow_53_30,Cow_53,0,5,3,1,170.97665405273438,0.3076923076923077,4,13
BCS5__Cow_54,Cow_54,1,5,3,1,170.27716064453125,0.8571428571428571,6,7
BCS5__Cow_6_5051,Cow_6,1,5,3,1,168.8079376220703,0.6,3,5
BCS5__Cow_7_6022,Cow_7,0,5,3,1,169.12307739257812,0.75,3,4
BCS5__Cow_8_NOTAG,Cow_8,2,5,3,1,170.10446166992188,0.5714285714285714,4,7
BCS6__Cow_11_07,Cow_11,1,6,4,2,172.8684539794922,0.6585365853658537,27,41
BCS6__Cow_12_2014,Cow_12,1,6,4,2,172.70462036132812,0.7959183673469388,39,49
BCS6__Cow_13_66,Cow_13,1,6,4,2,171.2122344970703,0.43478260869565216,20,46
BCS6__Cow_16_06,Cow_16,0,6,4,2,172.71136474609375,0.8157894736842105,62,76
BCS6__Cow_18,Cow_18,2,6,4,2,170.9173126220703,0.717391304347826,33,46
BCS6__Cow_18_32,Cow_18,2,6,4,2,173.07623291015625,0.8070175438596491,46,57
BCS6__Cow_19_29,Cow_19,0,6,4,2,172.42352294921875,0.8524590163934426,52,61
BCS6__Cow_24_08,Cow_24,2,6,4,2,173.66061401367188,0.7096774193548387,22,31
BCS6__Cow_26_6,Cow_26,1,6,4,2,172.8824920654297,0.14754098360655737,9,61
