bag_id,episode_id,animal_id,fold_id,bcs_raw,label5,label3,frame_key,rgb_path,depth_npy_path,is_good_angle_frame,bad_reasons,n_angles,frame_angle_median,frame_angle_mean,frame_angle_std,frame_r2_min_median,frame_r2_min_min,frame_r2_mean_median,frame_n_low_r2,anatomical_phase,rotate_deg,axis_tilt_abs,trunk_len_ratio,centerline_std_ratio,centerline_range_ratio,top_width_ratio,bottom_width_ratio,top_gap_ratio,bottom_gap_ratio,pointed_top,pointed_bottom
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,30,dataset\2\Cow_11\f_30_rgb.jpg,dataset\2\Cow_11\f_30_depth.npy,1,,4,173.39047241210938,173.41746520996094,0.7403358817100525,0.7904735067749671,0.7064060503872903,0.8822016152001859,2,head_neck_trunk,-5.067587051519496,0.08229507557487636,0.382262996941896,0.018827753141522408,0.050435200333595276,0.19678974380653308,0.8651892188683632,0.026785714285714284,0.0,1.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,90,dataset\2\Cow_11\f_90_rgb.jpg,dataset\2\Cow_11\f_90_depth.npy,1,,3,171.1579132080078,171.343017578125,0.32182663679122925,0.956869694511481,0.9296063478949026,0.9621512639966429,0,entry_or_trunk_with_rump,-6.859208109957834,0.3117158244266136,0.32142857142857145,0.007230120711028576,0.026159562170505524,0.37565451298254526,0.5745379423461678,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,105,dataset\2\Cow_11\f_105_rgb.jpg,dataset\2\Cow_11\f_105_depth.npy,1,,4,172.884033203125,172.8076934814453,0.29146382212638855,0.9378190962339901,0.9076919854318163,0.943464411110015,0,entry_or_trunk_with_rump,-7.348327626173187,0.3312547909608412,0.2976190476190476,0.005334354005753994,0.02270106039941311,0.37293798335693107,0.6281887448000348,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,825,dataset\2\Cow_11\f_825_rgb.jpg,dataset\2\Cow_11\f_825_depth.npy,1,,3,172.55563354492188,172.4535675048828,0.8115832805633545,0.9638710462680218,0.9508302387406822,0.9706129112610932,0,entry_or_trunk_with_rump,3.2579814424801867,0.13182564038406497,0.24107142857142858,0.006999168079346418,0.02494330145418644,0.39875972612330757,0.6680734087485903,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,855,dataset\2\Cow_11\f_855_rgb.jpg,dataset\2\Cow_11\f_855_depth.npy,1,,4,173.22683715820312,173.2403106689453,0.23778390884399414,0.9504198522704606,0.9249647252259589,0.9675136151677686,0,entry_or_trunk_with_rump,3.544133161434516,0.15856572293570537,0.22023809523809523,0.00666171545162797,0.024576464667916298,0.38667679260736804,0.6382851730324286,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,1035,dataset\2\Cow_11\f_1035_rgb.jpg,dataset\2\Cow_11\f_1035_depth.npy,1,,4,173.39047241210938,173.41746520996094,0.7403358817100525,0.7904735067749671,0.7064060503872903,0.8822016152001859,2,head_neck_trunk,-5.067587051519496,0.08229507557487636,0.382262996941896,0.018827753141522408,0.050435200333595276,0.19678974380653308,0.8651892188683632,0.026785714285714284,0.0,1.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,1065,dataset\2\Cow_11\f_1065_rgb.jpg,dataset\2\Cow_11\f_1065_depth.npy,1,,4,171.759765625,171.7810516357422,1.1154576539993286,0.9438915349302205,0.9284701787063021,0.957413450626841,0,entry_or_trunk_with_rump,-5.313715812851129,0.27514832809822565,0.23511904761904762,0.009649845771491528,0.03364558517932892,0.4643133242563186,0.671678058739813,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,1275,dataset\2\Cow_11\f_1275_rgb.jpg,dataset\2\Cow_11\f_1275_depth.npy,1,,3,173.8639678955078,173.61732482910156,0.6086892485618591,0.9581250930269768,0.8665305500217141,0.9727076390599623,0,entry_or_trunk_with_rump,-0.7632150829279425,0.044553808495805924,0.23809523809523808,0.0036005687434226274,0.015871774405241013,0.42084862579619364,0.6848178737188124,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,1290,dataset\2\Cow_11\f_1290_rgb.jpg,dataset\2\Cow_11\f_1290_depth.npy,1,,3,172.5780487060547,172.6862335205078,0.5481791496276855,0.9416672061190665,0.9269491463349468,0.9562669112569833,0,entry_or_trunk_with_rump,-0.8157263535507724,0.031233137969678637,0.24404761904761904,0.0067000119015574455,0.022046377882361412,0.40780775943308456,0.6852543566663168,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,1680,dataset\2\Cow_11\f_1680_rgb.jpg,dataset\2\Cow_11\f_1680_depth.npy,1,,3,173.413818359375,173.4359893798828,0.3659939765930176,0.9131288200145264,0.8040010774798692,0.9524527450905728,0,entry_or_trunk_with_rump,4.171192099086326,0.16965923478053924,0.2708333333333333,0.022634973749518394,0.08147786557674408,0.3735328030557407,0.6698148036212167,0.0,0.0,0.0,0.0
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,1830,dataset\2\Cow_11\f_1830_rgb.jpg,dataset\2\Cow_11\f_1830_depth.npy,1,,4,173.22683715820312,173.2403106689453,0.23778390884399414,0.9504198522704606,0.9249647252259589,0.9675136151677686,0,entry_or_trunk_with_rump,3.544133161434516,0.15856572293570537,0.22023809523809523,0.00666171545162797,0.024576464667916298,0.38667679260736804,0.6382851730324286,0.0,0.0,0.0,0.0
