bag_id,episode_id,animal_id,fold_id,bcs_raw,label5,label3,sampled_frame_count,valid_angle_frame_count,good_angle_frame_count,good_frame_ratio,main_phase,bag_all_angle_median,bag_all_angle_mean,bag_all_angle_std,bag_good_angle_median,bag_good_angle_mean,bag_good_angle_std,bag_good_angle_p10,bag_good_angle_p25,bag_good_angle_p75,bag_good_angle_p90,bag_good_frame_median_angle,bag_good_frame_mean_angle
BCS2__Cow_11,Cow_11,Cow_11,1,2,0,0,504,344,76,0.15079365079365079,entry_or_trunk_with_rump,172.90184020996094,172.4550323486328,1.904322862625122,172.58738708496094,171.91163635253906,2.45511794090271,169.8454132080078,171.67318725585938,173.27294921875,173.80178833007812,172.56683349609375,172.3202667236328
BCS2__Cow_11_1,Cow_11_1,Cow_11,1,2,0,0,52,45,6,0.11538461538461539,entry_or_trunk_with_rump,171.31167602539062,171.2105255126953,1.8819044828414917,170.794677734375,169.63381958007812,4.0697455406188965,162.7679901123047,167.04470825195312,172.2870635986328,174.4732666015625,170.86187744140625,169.71556091308594
BCS2__Cow_11_2,Cow_11_2,Cow_11,1,2,0,0,49,49,40,0.8163265306122449,entry_or_trunk_with_rump,170.1861572265625,169.52737426757812,3.153350830078125,170.07037353515625,169.4563446044922,3.2362284660339355,163.54530334472656,168.39300537109375,171.85784912109375,172.68482971191406,170.79063415527344,170.12054443359375
BCS2__Cow_21_8029,Cow_21_8029,Cow_21,0,2,0,0,61,37,17,0.2786885245901639,head_neck_trunk,166.461181640625,166.98312377929688,4.633126735687256,164.2025909423828,165.06625366210938,3.6725518703460693,160.6482696533203,162.205078125,168.0608367919922,170.57073974609375,164.39080810546875,165.51861572265625
BCS2__Cow_5,Cow_5,Cow_5,2,2,0,0,46,30,2,0.043478260869565216,trunk_dominant,172.046875,171.96514892578125,1.7149109840393066,170.87686157226562,170.92811584472656,1.96268630027771,168.5778045654297,169.259765625,172.54522705078125,173.3809356689453,170.87686157226562,170.87686157226562
BCS2__Cow_5_1,Cow_5_1,Cow_5,2,2,0,0,46,30,10,0.21739130434782608,trunk_head_neck_reversed,170.80294799804688,170.72573852539062,1.713001012802124,171.34860229492188,171.1664276123047,1.3699934482574463,169.5205841064453,169.79652404785156,172.0513916015625,173.3294677734375,170.74078369140625,171.23226928710938
BCS3__Cow_12,Cow_12,Cow_12,1,3,1,0,23,17,0,0.0,trunk_head_neck_reversed,172.432861328125,172.37075805664062,1.1386386156082153,,,,,,,,,
BCS3__Cow_14,Cow_14,Cow_14,1,3,1,0,17,12,4,0.23529411764705882,entry_or_trunk_with_rump,171.02040100097656,167.68881225585938,6.049128532409668,162.63763427734375,163.95382690429688,5.504434585571289,157.5337677001953,158.973388671875,170.67864990234375,171.58067321777344,166.9393768310547,165.8385772705078
BCS3__Cow_14_0011,Cow_14_0011,Cow_14,1,3,1,0,7,6,4,0.5714285714285714,trunk_head_neck_reversed,170.40081787109375,168.85794067382812,4.696054458618164,169.92811584472656,168.3451385498047,4.789602279663086,159.57144165039062,164.66439819335938,171.82554626464844,172.57981872558594,169.81597900390625,168.22129821777344
BCS3__Cow_16,Cow_16,Cow_16,0,3,1,0,44,23,20,0.45454545454545453,entry_or_trunk_with_rump,164.19349670410156,163.9096221923828,4.020463943481445,164.14666748046875,163.83285522460938,3.4850308895111084,159.7786407470703,162.41419982910156,166.11183166503906,168.02154541015625,163.6712188720703,163.41452026367188
BCS3__Cow_16_1,Cow_16_1,Cow_16,0,3,1,0,3,0,0,0.0,head_neck_trunk,,,,,,,,,,,,
BCS3__Cow_16_1004,Cow_16_1004,Cow_16,0,3,1,0,4,3,3,0.75,trunk_dominant,165.8255615234375,163.76690673828125,5.698585033416748,165.8255615234375,163.76690673828125,5.698585033416748,156.53334045410156,157.57533264160156,168.58303833007812,170.4170379638672,167.09588623046875,164.99205017089844
BCS3__Cow_16_2,Cow_16_2,Cow_16,0,3,1,0,4,4,2,0.5,head_neck_trunk,168.5933837890625,166.09747314453125,6.332462310791016,159.30709838867188,163.1121368408203,7.325711250305176,156.3498992919922,156.9165496826172,171.80831909179688,172.9724884033203,164.64361572265625,164.64361572265625
BCS3__Cow_20_0029,Cow_20_0029,Cow_20,2,3,1,0,4,4,4,1.0,entry_or_trunk_with_rump,169.902587890625,167.8179168701172,4.11622428894043,169.902587890625,167.8179168701172,4.11622428894043,162.24679565429688,166.3533477783203,170.58042907714844,170.84703063964844,169.93011474609375,168.26280212402344
